                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.92209,                 1.2764,                0.67007,                0.98366,                0.93464,                0.84372,                0.92681,                0.75991,                0.92266,                0.82352,                0.89729,                0.51333,                0.82534,                 1.1816,                0.68068,                0.95214,             0.00045107,             0.00045107,             0.00045107
                     65,                0.90671,                 1.2404,                0.65189,                0.94167,                0.93464,                0.84372,                0.92681,                0.75991,                0.92266,                0.82352,                0.89729,                0.51333,                0.82534,                 1.1816,                0.68068,                0.95214,             0.00045099,             0.00045099,             0.00045099
                     66,                0.88401,                 1.2459,                0.69658,                 0.9609,                0.90201,                0.87741,                0.91519,                0.73816,                0.87271,                0.85814,                0.88433,                0.53544,                0.82105,                 1.1395,                0.68493,                0.95058,             0.00045068,             0.00045068,             0.00045068
                     67,                0.89117,                 1.1948,                0.69555,                0.98683,                0.90201,                0.87741,                0.91519,                0.73816,                0.87271,                0.85814,                0.88433,                0.53544,                0.82105,                 1.1395,                0.68493,                0.95058,             0.00045014,             0.00045014,             0.00045014
                     68,                 0.9007,                 1.2497,                0.62885,                0.94107,                0.90201,                0.87741,                0.91519,                0.73816,                0.87271,                0.85814,                0.88433,                0.53544,                0.82105,                 1.1395,                0.68493,                0.95058,             0.00044938,             0.00044938,             0.00044938
                     69,                0.94051,                 1.2926,                0.66365,                0.94249,                0.93503,                0.91681,                0.93908,                0.74913,                0.91383,                0.89911,                0.90717,                0.55725,                0.86168,                  1.109,                0.66426,                0.95615,             0.00044839,             0.00044839,             0.00044839
                     70,                0.85665,                 1.1634,                0.61663,                 0.9221,                0.93503,                0.91681,                0.93908,                0.74913,                0.91383,                0.89911,                0.90717,                0.55725,                0.86168,                  1.109,                0.66426,                0.95615,             0.00044718,             0.00044718,             0.00044718
                     71,                0.86033,                 1.1659,                0.59791,                0.93716,                0.93503,                0.91681,                0.93908,                0.74913,                0.91383,                0.89911,                0.90717,                0.55725,                0.86168,                  1.109,                0.66426,                0.95615,             0.00044573,             0.00044573,             0.00044573
                     72,                 0.8598,                 1.2263,                0.62774,                0.94219,                0.90512,                0.92577,                0.93828,                0.76017,                0.88918,                0.91153,                0.91218,                0.57713,                0.81985,                 1.0973,                 0.6267,                0.94862,             0.00044407,             0.00044407,             0.00044407
                     73,                 0.8188,                 1.0345,                0.58815,                0.93396,                0.90512,                0.92577,                0.93828,                0.76017,                0.88918,                0.91153,                0.91218,                0.57713,                0.81985,                 1.0973,                 0.6267,                0.94862,             0.00044217,             0.00044217,             0.00044217
